,YEAR,MONTH,DAY,TYPE,PERIOD,SEASON,NEIGHBOURHOOD,Counts
4237,2015,6,1,Offence Against a Person,AM,Summer,Renfrew-Collingwood,3
4238,2017,8,1,Theft from Vehicle,PM,Summer,Riley Park,19
4239,2015,7,1,Break and Enter Residential/Other,PM,Summer,Kerrisdale,7
4240,2018,11,1,Break and Enter Commercial,AM,Autumn,Arbutus Ridge,1
4241,2022,12,1,Offence Against a Person,AM,Winter,Stanley Park,1
4242,2019,10,1,Mischief,PM,Autumn,Sunset,13
4243,2012,3,1,Theft of Vehicle,AM,Winter,Fairview,2
4244,2014,10,1,Theft from Vehicle,PM,Autumn,Mount Pleasant,61
4245,2015,10,1,Mischief,PM,Autumn,Killarney,5
4246,2016,10,1,Break and Enter Residential/Other,AM,Autumn,Hastings-Sunrise,8
4247,2012,10,1,Theft of Bicycle,PM,Autumn,Oakridge,3
4248,2018,7,1,Theft from Vehicle,PM,Summer,Central Business District,267
4249,2022,6,1,Break and Enter Commercial,AM,Spring,Oakridge,1
4250,2017,7,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Central Business District,12
4251,2018,6,1,Theft from Vehicle,PM,Spring,Strathcona,27
4252,2014,10,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Kitsilano,4
4253,2015,12,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Marpole,2
4254,2014,7,1,Theft from Vehicle,AM,Summer,Killarney,4
4255,2016,4,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Mount Pleasant,3
4256,2013,4,1,Theft from Vehicle,AM,Spring,Fairview,9
4257,2020,12,1,Offence Against a Person,AM,Autumn,Victoria-Fraserview,3
4258,2012,1,1,Offence Against a Person,AM,Winter,Mount Pleasant,14
4259,2015,1,1,Mischief,AM,Winter,Fairview,8
4260,2016,7,1,Break and Enter Commercial,PM,Summer,Renfrew-Collingwood,2
4261,2022,9,1,Theft from Vehicle,PM,Summer,Dunbar-Southlands,6
4262,2015,2,1,Theft of Bicycle,AM,Winter,Hastings-Sunrise,1
4263,2022,4,1,Offence Against a Person,AM,Spring,Kerrisdale,3
4264,2022,4,1,Break and Enter Commercial,PM,Spring,Riley Park,1
4265,2018,9,1,Offence Against a Person,AM,Summer,Hastings-Sunrise,4
4266,2021,5,1,Break and Enter Commercial,AM,Spring,Kensington-Cedar Cottage,3
4267,2015,4,1,Other Theft,AM,Spring,Kitsilano,6
4268,2016,12,1,Mischief,AM,Autumn,West Point Grey,2
4269,2016,1,1,Break and Enter Residential/Other,PM,Winter,Fairview,3
4270,2012,6,1,Other Theft,PM,Spring,West Point Grey,11
4271,2021,12,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Sunset,2
4272,2018,4,1,Theft from Vehicle,AM,Spring,Sunset,12
4273,2014,1,1,Theft from Vehicle,AM,Winter,South Cambie,4
4274,2021,3,1,Break and Enter Residential/Other,PM,Spring,Victoria-Fraserview,1
4275,2020,6,1,Mischief,AM,Spring,Mount Pleasant,12
4276,2012,4,1,Offence Against a Person,AM,Spring,West End,39
4277,2019,1,1,Homicide,AM,Winter,Sunset,1
4278,2022,9,1,Break and Enter Commercial,AM,Summer,Mount Pleasant,12
4279,2021,1,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,West End,4
4280,2018,3,1,Other Theft,AM,Winter,Oakridge,2
4281,2019,5,1,Other Theft,AM,Spring,Arbutus Ridge,2
4282,2016,6,1,Theft from Vehicle,PM,Summer,Killarney,4
4283,2015,11,1,Break and Enter Commercial,AM,Autumn,South Cambie,1
4284,2021,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Stanley Park,2
4285,2021,3,1,Other Theft,AM,Spring,Victoria-Fraserview,1
4286,2017,1,1,Theft of Vehicle,AM,Winter,Killarney,1
4287,2020,10,1,Break and Enter Residential/Other,AM,Autumn,Renfrew-Collingwood,5
4288,2014,5,1,Theft of Bicycle,PM,Spring,Renfrew-Collingwood,5
4289,2018,12,1,Other Theft,AM,Winter,West End,9
4290,2015,7,1,Theft of Bicycle,AM,Summer,Fairview,16
4291,2012,9,1,Theft of Bicycle,AM,Autumn,Central Business District,3
4292,2012,1,1,Other Theft,AM,Winter,Arbutus Ridge,1
4293,2014,10,1,Theft from Vehicle,AM,Autumn,Strathcona,15
4294,2016,5,1,Other Theft,PM,Spring,Mount Pleasant,69
4295,2016,3,1,Mischief,AM,Spring,Shaughnessy,1
4296,2013,11,1,Break and Enter Residential/Other,AM,Autumn,Strathcona,3
4297,2013,3,1,Mischief,AM,Winter,Strathcona,7
4298,2013,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Kerrisdale,1
4299,2014,4,1,Theft of Vehicle,PM,Spring,Kitsilano,3
4300,2018,8,1,Theft of Vehicle,PM,Summer,Victoria-Fraserview,6
4301,2022,3,1,Mischief,AM,Spring,Oakridge,5
4302,2015,9,1,Theft from Vehicle,PM,Summer,Fairview,29
4303,2022,7,1,Mischief,AM,Summer,Dunbar-Southlands,2
4304,2022,6,1,Theft from Vehicle,PM,Spring,West Point Grey,1
4305,2013,9,1,Other Theft,PM,Summer,Shaughnessy,1
4306,2016,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Grandview-Woodland,2
4307,2022,9,1,Theft of Bicycle,PM,Autumn,West End,5
4308,2014,5,1,Mischief,AM,Spring,Kitsilano,3
4309,2013,4,1,Other Theft,PM,Spring,Hastings-Sunrise,11
4310,2020,9,1,Break and Enter Residential/Other,AM,Autumn,Kerrisdale,4
4311,2014,1,1,Theft from Vehicle,PM,Winter,Hastings-Sunrise,18
4312,2018,6,1,Theft from Vehicle,AM,Summer,Killarney,1
4313,2015,1,1,Theft of Vehicle,PM,Winter,Arbutus Ridge,1
4314,2015,9,1,Other Theft,PM,Summer,Dunbar-Southlands,5
4315,2020,3,1,Mischief,AM,Spring,Marpole,1
4316,2013,8,1,Theft of Vehicle,PM,Summer,Grandview-Woodland,8
4317,2014,12,1,Break and Enter Commercial,PM,Autumn,Strathcona,2
4318,2014,9,1,Theft of Vehicle,PM,Summer,Grandview-Woodland,2
4319,2022,12,1,Other Theft,PM,Autumn,Riley Park,6
4320,2019,4,1,Mischief,PM,Spring,Kerrisdale,2
4321,2016,12,1,Break and Enter Residential/Other,PM,Autumn,Kerrisdale,5
4322,2016,10,1,Theft from Vehicle,PM,Autumn,Central Business District,262
4323,2016,2,1,Theft of Vehicle,PM,Winter,Fairview,5
4324,2016,12,1,Other Theft,AM,Autumn,Shaughnessy,2
4325,2019,12,1,Break and Enter Commercial,AM,Winter,Riley Park,3
4326,2013,6,1,Break and Enter Residential/Other,AM,Summer,Kitsilano,2
4327,2018,3,1,Theft of Bicycle,PM,Spring,Oakridge,1
4328,2016,12,1,Break and Enter Commercial,PM,Autumn,Fairview,12
4329,2015,6,1,Theft from Vehicle,PM,Spring,Fairview,18
4330,2019,9,1,Other Theft,AM,Summer,Mount Pleasant,16
4331,2016,9,1,Theft from Vehicle,AM,Autumn,Riley Park,2
4332,2017,7,1,Break and Enter Residential/Other,PM,Summer,Oakridge,12
4333,2016,12,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Hastings-Sunrise,5
4334,2021,12,1,Theft of Bicycle,AM,Autumn,Mount Pleasant,2
4335,2014,10,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Kitsilano,4
4336,2018,9,1,Theft of Bicycle,PM,Summer,Shaughnessy,1
4337,2017,6,1,Theft from Vehicle,PM,Summer,Killarney,3
4338,2018,3,1,Break and Enter Residential/Other,AM,Winter,Dunbar-Southlands,1
4339,2021,9,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Strathcona,1
4340,2018,12,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Fairview,1
4341,2020,7,1,Theft from Vehicle,AM,Summer,Strathcona,21
4342,2021,1,1,Theft of Bicycle,PM,Winter,Central Business District,8
4343,2022,9,1,Other Theft,AM,Summer,Kitsilano,8
4344,2018,12,1,Break and Enter Commercial,PM,Autumn,Strathcona,2
4345,2017,7,1,Theft of Bicycle,PM,Summer,Marpole,3
4346,2013,6,1,Theft from Vehicle,AM,Spring,Riley Park,9
4347,2019,12,1,Break and Enter Commercial,PM,Autumn,Mount Pleasant,4
4348,2020,10,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Hastings-Sunrise,4
4349,2020,9,1,Break and Enter Residential/Other,AM,Summer,Fairview,2
4350,2012,8,1,Theft of Vehicle,PM,Summer,South Cambie,2
4351,2014,6,1,Mischief,AM,Summer,West End,5
4352,2019,4,1,Theft of Vehicle,PM,Spring,Hastings-Sunrise,6
4353,2012,10,1,Other Theft,AM,Autumn,Kensington-Cedar Cottage,3
4354,2014,12,1,Break and Enter Residential/Other,AM,Winter,Kitsilano,4
4355,2018,3,1,Theft of Bicycle,AM,Spring,Oakridge,1
4356,2020,9,1,Mischief,AM,Summer,Shaughnessy,1
4357,2019,9,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Dunbar-Southlands,1
4358,2012,9,1,Other Theft,PM,Autumn,Renfrew-Collingwood,7
4359,2012,4,1,Other Theft,PM,Spring,Fairview,45
4360,2016,11,1,Break and Enter Residential/Other,AM,Autumn,Riley Park,4
4361,2012,3,1,Theft from Vehicle,AM,Spring,Kitsilano,4
4362,2015,12,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Kerrisdale,1
4363,2019,9,1,Theft of Bicycle,AM,Summer,Kensington-Cedar Cottage,3
4364,2021,7,1,Other Theft,PM,Summer,West End,44
4365,2021,3,1,Theft from Vehicle,PM,Winter,Oakridge,2
4366,2020,2,1,Theft of Bicycle,AM,Winter,Strathcona,3
4367,2014,8,1,Other Theft,AM,Summer,Mount Pleasant,27
4368,2022,12,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Marpole,1
4369,2014,3,1,Break and Enter Residential/Other,AM,Spring,Strathcona,2
4370,2020,5,1,Offence Against a Person,AM,Spring,Marpole,3
4371,2014,3,1,Theft of Bicycle,PM,Winter,Kensington-Cedar Cottage,2
4372,2015,2,1,Mischief,AM,Winter,Renfrew-Collingwood,8
4373,2017,6,1,Break and Enter Residential/Other,AM,Summer,Shaughnessy,5
4374,2012,9,1,Break and Enter Commercial,PM,Summer,Dunbar-Southlands,1
4375,2016,8,1,Break and Enter Commercial,PM,Summer,Mount Pleasant,9
4376,2019,7,1,Theft of Bicycle,PM,Summer,Marpole,2
4377,2012,6,1,Other Theft,PM,Spring,Dunbar-Southlands,9
4378,2022,6,1,Break and Enter Commercial,AM,Summer,Mount Pleasant,3
4379,2014,5,1,Theft from Vehicle,AM,Spring,Kensington-Cedar Cottage,6
4380,2014,11,1,Theft of Vehicle,PM,Autumn,Mount Pleasant,7
4381,2022,9,1,Mischief,PM,Autumn,West End,3
4382,2021,2,1,Offence Against a Person,AM,Winter,Kerrisdale,1
4383,2021,3,1,Theft from Vehicle,AM,Spring,Fairview,3
4384,2013,2,1,Theft from Vehicle,AM,Winter,West Point Grey,1
4385,2016,7,1,Break and Enter Commercial,PM,Summer,Marpole,3
4386,2018,9,1,Theft from Vehicle,PM,Autumn,Oakridge,2
4387,2022,6,1,Theft from Vehicle,PM,Spring,Fairview,13
4388,2019,11,1,Break and Enter Residential/Other,AM,Autumn,Mount Pleasant,7
4389,2019,1,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Fairview,1
4390,2019,6,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Renfrew-Collingwood,2
4391,2022,4,1,Other Theft,AM,Spring,Marpole,5
4392,2013,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Fairview,1
4393,2013,12,1,Theft from Vehicle,AM,Winter,Central Business District,19
4394,2020,3,1,Break and Enter Commercial,AM,Spring,West End,8
4395,2020,6,1,Other Theft,PM,Summer,Arbutus Ridge,2
4396,2022,1,1,Other Theft,PM,Winter,Hastings-Sunrise,10
4397,2014,9,1,Theft of Bicycle,PM,Summer,Kensington-Cedar Cottage,7
4398,2018,12,1,Theft of Bicycle,PM,Winter,Fairview,1
4399,2015,2,1,Mischief,AM,Winter,Stanley Park,1
4400,2019,12,1,Theft from Vehicle,PM,Winter,Kitsilano,15
4401,2018,3,1,Theft from Vehicle,PM,Spring,Oakridge,5
4402,2012,6,1,Other Theft,PM,Spring,Mount Pleasant,28
4403,2019,7,1,Break and Enter Residential/Other,PM,Summer,Dunbar-Southlands,2
4404,2018,2,1,Break and Enter Residential/Other,AM,Winter,Shaughnessy,3
4405,2019,7,1,Offence Against a Person,AM,Summer,Kitsilano,7
4406,2012,9,1,Theft of Vehicle,PM,Autumn,Shaughnessy,1
4407,2018,8,1,Theft from Vehicle,PM,Summer,Renfrew-Collingwood,31
4408,2018,2,1,Break and Enter Residential/Other,AM,Winter,Marpole,1
4409,2015,8,1,Other Theft,AM,Summer,Marpole,5
4410,2016,1,1,Break and Enter Commercial,PM,Winter,Shaughnessy,1
4411,2018,12,1,Mischief,AM,Autumn,Kitsilano,6
4412,2013,6,1,Break and Enter Residential/Other,AM,Summer,Riley Park,2
4413,2016,5,1,Other Theft,AM,Spring,Kitsilano,12
4414,2019,8,1,Theft of Vehicle,AM,Summer,Shaughnessy,1
4415,2015,10,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Dunbar-Southlands,2
4416,2020,12,1,Theft from Vehicle,AM,Autumn,Strathcona,17
4417,2014,9,1,Offence Against a Person,AM,Autumn,Victoria-Fraserview,3
4418,2013,5,1,Other Theft,AM,Spring,Kerrisdale,1
4419,2019,6,1,Other Theft,PM,Spring,Grandview-Woodland,24
4420,2019,7,1,Break and Enter Commercial,PM,Summer,Hastings-Sunrise,2
4421,2020,7,1,Mischief,AM,Summer,Strathcona,25
4422,2013,6,1,Mischief,AM,Spring,Kerrisdale,1
4423,2022,3,1,Theft of Bicycle,AM,Winter,Kitsilano,3
4424,2015,12,1,Other Theft,PM,Winter,Sunset,7
4425,2018,1,1,Theft from Vehicle,AM,Winter,West End,39
4426,2013,5,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Shaughnessy,2
4427,2015,1,1,Offence Against a Person,AM,Winter,Stanley Park,1
4428,2016,12,1,Mischief,PM,Winter,Hastings-Sunrise,1
4429,2016,10,1,Theft of Bicycle,PM,Autumn,Hastings-Sunrise,1
4430,2019,1,1,Theft of Vehicle,AM,Winter,Hastings-Sunrise,3
4431,2020,6,1,Other Theft,PM,Spring,Central Business District,60
4432,2022,12,1,Other Theft,PM,Autumn,South Cambie,1
4433,2013,9,1,Mischief,PM,Summer,Oakridge,4
4434,2015,10,1,Mischief,PM,Autumn,Oakridge,1
4435,2013,10,1,Theft of Vehicle,PM,Autumn,Fairview,3
4436,2021,4,1,Break and Enter Residential/Other,PM,Spring,Killarney,2
4437,2016,7,1,Break and Enter Residential/Other,AM,Summer,Victoria-Fraserview,4
4438,2012,1,1,Mischief,AM,Winter,South Cambie,1
4439,2012,7,1,Offence Against a Person,AM,Summer,Oakridge,2
4440,2015,10,1,Theft of Bicycle,AM,Autumn,Renfrew-Collingwood,2
4441,2014,9,1,Mischief,PM,Summer,Hastings-Sunrise,8
4442,2021,6,1,Break and Enter Residential/Other,PM,Spring,Kensington-Cedar Cottage,2
4443,2022,5,1,Theft of Bicycle,PM,Spring,South Cambie,2
4444,2015,3,1,Break and Enter Residential/Other,PM,Winter,Kitsilano,3
4445,2022,11,1,Theft of Vehicle,PM,Autumn,Victoria-Fraserview,1
4446,2016,5,1,Mischief,AM,Spring,Fairview,7
4447,2016,3,1,Break and Enter Residential/Other,PM,Spring,Victoria-Fraserview,3
4448,2013,4,1,Break and Enter Commercial,PM,Spring,Shaughnessy,1
4449,2012,6,1,Theft of Vehicle,PM,Spring,Dunbar-Southlands,3
4450,2020,10,1,Theft of Bicycle,PM,Autumn,Dunbar-Southlands,5
4451,2016,9,1,Offence Against a Person,AM,Summer,Dunbar-Southlands,3
4452,2018,9,1,Theft of Bicycle,PM,Summer,West Point Grey,2
4453,2021,7,1,Theft of Vehicle,PM,Summer,Kitsilano,7
4454,2014,11,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Fairview,5
4455,2022,8,1,Other Theft,PM,Summer,Strathcona,36
4456,2013,10,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Fairview,5
4457,2013,6,1,Offence Against a Person,AM,Summer,Sunset,2
4458,2015,9,1,Break and Enter Residential/Other,AM,Summer,Mount Pleasant,11
4459,2020,4,1,Break and Enter Residential/Other,PM,Spring,Oakridge,3
4460,2016,4,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Grandview-Woodland,6
4461,2015,2,1,Break and Enter Commercial,AM,Winter,South Cambie,1
4462,2022,2,1,Mischief,PM,Winter,Renfrew-Collingwood,14
4463,2020,6,1,Theft from Vehicle,AM,Spring,Strathcona,13
4464,2021,5,1,Theft of Vehicle,PM,Spring,West Point Grey,1
4465,2018,6,1,Break and Enter Residential/Other,PM,Spring,Kerrisdale,5
4466,2017,5,1,Break and Enter Commercial,AM,Spring,Grandview-Woodland,10
4467,2019,11,1,Mischief,AM,Autumn,Kitsilano,9
4468,2022,9,1,Mischief,PM,Summer,West End,11
4469,2021,7,1,Mischief,PM,Summer,Marpole,10
4470,2014,11,1,Break and Enter Residential/Other,PM,Autumn,Renfrew-Collingwood,8
4471,2014,4,1,Break and Enter Commercial,PM,Spring,West End,9
4472,2015,6,1,Offence Against a Person,AM,Summer,Fairview,1
4473,2012,5,1,Break and Enter Residential/Other,AM,Spring,Hastings-Sunrise,9
4474,2020,4,1,Break and Enter Residential/Other,PM,Spring,South Cambie,2
4475,2018,4,1,Break and Enter Commercial,AM,Spring,Oakridge,1
4476,2022,8,1,Theft of Bicycle,PM,Summer,Marpole,2
4477,2016,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Hastings-Sunrise,2
4478,2015,6,1,Break and Enter Residential/Other,AM,Spring,Strathcona,1
4479,2018,1,1,Break and Enter Commercial,PM,Winter,South Cambie,2
4480,2017,7,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Victoria-Fraserview,3
4481,2014,5,1,Offence Against a Person,AM,Spring,Musqueam,1
4482,2017,4,1,Mischief,PM,Spring,Kerrisdale,10
4483,2013,6,1,Mischief,PM,Summer,Renfrew-Collingwood,4
4484,2016,4,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Kerrisdale,1
4485,2021,1,1,Other Theft,PM,Winter,West End,45
4486,2016,6,1,Offence Against a Person,AM,Spring,Shaughnessy,2
4487,2016,7,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Marpole,4
4488,2017,5,1,Theft of Vehicle,AM,Spring,Oakridge,1
4489,2015,7,1,Mischief,PM,Summer,Stanley Park,1
4490,2019,4,1,Mischief,AM,Spring,Victoria-Fraserview,3
4491,2013,7,1,Theft of Bicycle,AM,Summer,Riley Park,4
4492,2018,2,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Hastings-Sunrise,2
4493,2018,8,1,Break and Enter Residential/Other,PM,Summer,Marpole,6
4494,2018,2,1,Break and Enter Residential/Other,PM,Winter,Killarney,4
4495,2020,10,1,Theft of Vehicle,PM,Autumn,South Cambie,1
4496,2017,1,1,Theft of Vehicle,PM,Winter,Kerrisdale,1
4497,2015,8,1,Other Theft,PM,Summer,Kensington-Cedar Cottage,19
4498,2012,12,1,Theft from Vehicle,AM,Autumn,Hastings-Sunrise,5
4499,2019,8,1,Theft from Vehicle,AM,Summer,Hastings-Sunrise,17
4500,2020,9,1,Theft of Bicycle,AM,Summer,Kerrisdale,1
4501,2015,11,1,Theft from Vehicle,AM,Autumn,Hastings-Sunrise,9
4502,2016,12,1,Mischief,AM,Winter,Central Business District,23
4503,2016,4,1,Break and Enter Residential/Other,PM,Spring,Killarney,6
4504,2022,3,1,Mischief,AM,Winter,Victoria-Fraserview,2
4505,2017,5,1,Other Theft,AM,Spring,Strathcona,19
4506,2022,12,1,Theft from Vehicle,AM,Autumn,Renfrew-Collingwood,9
4507,2012,11,1,Break and Enter Commercial,AM,Autumn,Kensington-Cedar Cottage,3
4508,2012,10,1,Theft of Vehicle,PM,Autumn,West End,5
4509,2013,11,1,Theft of Bicycle,AM,Autumn,Kitsilano,4
4510,2012,7,1,Break and Enter Residential/Other,AM,Summer,Kitsilano,5
4511,2014,3,1,Mischief,PM,Winter,Riley Park,3
4512,2015,1,1,Theft of Bicycle,PM,Winter,Mount Pleasant,7
4513,2013,5,1,Mischief,AM,Spring,Dunbar-Southlands,1
4514,2022,1,1,Mischief,PM,Winter,West End,30
4515,2020,7,1,Theft of Vehicle,AM,Summer,Marpole,1
4516,2022,11,1,Vehicle Collision or Pedestrian Struck (with Fatality),AM,Autumn,Grandview-Woodland,1
4517,2020,11,1,Mischief,PM,Autumn,Killarney,2
4518,2013,8,1,Other Theft,PM,Summer,Marpole,7
4519,2020,12,1,Theft of Vehicle,PM,Autumn,Mount Pleasant,3
4520,2022,12,1,Theft from Vehicle,PM,Autumn,Grandview-Woodland,10
4521,2012,3,1,Theft of Vehicle,PM,Winter,Kensington-Cedar Cottage,2
4522,2022,11,1,Other Theft,PM,Autumn,Arbutus Ridge,4
4523,2016,9,1,Offence Against a Person,AM,Autumn,Mount Pleasant,3
4524,2017,9,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Stanley Park,1
4525,2022,3,1,Break and Enter Residential/Other,AM,Spring,Sunset,1
4526,2021,4,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Arbutus Ridge,1
4527,2015,12,1,Break and Enter Residential/Other,AM,Winter,Victoria-Fraserview,1
4528,2021,9,1,Theft of Vehicle,PM,Summer,Renfrew-Collingwood,5
4529,2013,11,1,Break and Enter Residential/Other,PM,Autumn,Hastings-Sunrise,3
4530,2020,9,1,Offence Against a Person,AM,Summer,Riley Park,5
4531,2015,7,1,Break and Enter Commercial,PM,Summer,Marpole,1
4532,2016,6,1,Break and Enter Residential/Other,PM,Spring,Victoria-Fraserview,2
4533,2016,7,1,Offence Against a Person,AM,Summer,Killarney,5
4534,2018,6,1,Break and Enter Residential/Other,AM,Spring,Musqueam,1
4535,2021,3,1,Offence Against a Person,AM,Winter,Kensington-Cedar Cottage,18
4536,2014,3,1,Mischief,PM,Spring,Renfrew-Collingwood,4
4537,2015,9,1,Theft of Bicycle,PM,Summer,Victoria-Fraserview,1
4538,2018,5,1,Theft from Vehicle,AM,Spring,Kitsilano,15
4539,2019,9,1,Other Theft,AM,Summer,Stanley Park,2
4540,2022,3,1,Theft of Bicycle,PM,Winter,Riley Park,5
4541,2018,6,1,Mischief,PM,Summer,Killarney,2
4542,2019,7,1,Mischief,AM,Summer,Kensington-Cedar Cottage,11
4543,2015,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Victoria-Fraserview,1
4544,2015,6,1,Break and Enter Commercial,AM,Summer,Hastings-Sunrise,1
4545,2017,6,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,West End,3
4546,2020,2,1,Mischief,AM,Winter,West End,16
4547,2018,5,1,Break and Enter Commercial,PM,Spring,Marpole,4
4548,2017,11,1,Break and Enter Commercial,PM,Autumn,Sunset,2
4549,2013,3,1,Break and Enter Residential/Other,AM,Spring,Renfrew-Collingwood,2
4550,2013,12,1,Break and Enter Residential/Other,PM,Autumn,Riley Park,2
4551,2013,3,1,Other Theft,PM,Spring,Oakridge,9
4552,2015,7,1,Theft from Vehicle,AM,Summer,Dunbar-Southlands,9
4553,2013,6,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Riley Park,1
4554,2021,12,1,Break and Enter Residential/Other,AM,Autumn,Strathcona,1
4555,2012,9,1,Theft of Vehicle,PM,Autumn,West Point Grey,1
4556,2020,8,1,Mischief,AM,Summer,Riley Park,4
4557,2022,9,1,Theft from Vehicle,PM,Summer,Stanley Park,1
4558,2018,10,1,Theft from Vehicle,PM,Autumn,Grandview-Woodland,27
4559,2018,3,1,Offence Against a Person,AM,Spring,Sunset,2
4560,2015,12,1,Other Theft,AM,Autumn,Strathcona,7
4561,2021,5,1,Theft from Vehicle,PM,Spring,Riley Park,15
4562,2022,6,1,Break and Enter Commercial,AM,Summer,Fairview,1
4563,2017,7,1,Theft from Vehicle,PM,Summer,Renfrew-Collingwood,41
4564,2013,12,1,Break and Enter Residential/Other,AM,Winter,Killarney,1
4565,2019,3,1,Offence Against a Person,AM,Spring,Grandview-Woodland,5
4566,2017,8,1,Offence Against a Person,AM,Summer,Killarney,7
4567,2017,9,1,Other Theft,PM,Summer,Arbutus Ridge,2
4568,2022,2,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Victoria-Fraserview,2
4569,2018,10,1,Theft from Vehicle,PM,Autumn,Shaughnessy,7
4570,2022,3,1,Break and Enter Residential/Other,PM,Winter,Central Business District,1
4571,2017,6,1,Other Theft,PM,Spring,Strathcona,22
4572,2013,7,1,Offence Against a Person,AM,Summer,Central Business District,113
4573,2014,2,1,Break and Enter Residential/Other,PM,Winter,Shaughnessy,5
4574,2018,3,1,Break and Enter Residential/Other,PM,Spring,Strathcona,5
4575,2017,6,1,Theft of Bicycle,PM,Summer,Central Business District,25
4576,2022,6,1,Theft from Vehicle,AM,Spring,Hastings-Sunrise,10
4577,2021,2,1,Other Theft,PM,Winter,Sunset,14
4578,2020,11,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Marpole,2
4579,2014,4,1,Break and Enter Residential/Other,PM,Spring,Fairview,4
4580,2016,6,1,Theft of Bicycle,AM,Summer,Oakridge,1
4581,2016,6,1,Break and Enter Commercial,PM,Spring,Mount Pleasant,2
4582,2012,3,1,Break and Enter Residential/Other,PM,Winter,Killarney,3
4583,2014,9,1,Other Theft,AM,Autumn,Sunset,2
4584,2019,9,1,Theft of Bicycle,PM,Summer,Kitsilano,7
4585,2021,3,1,Other Theft,AM,Winter,Dunbar-Southlands,2
4586,2016,4,1,Break and Enter Commercial,PM,Spring,Fairview,5
4587,2016,12,1,Mischief,PM,Autumn,Dunbar-Southlands,3
4588,2018,12,1,Other Theft,AM,Winter,Grandview-Woodland,4
4589,2017,4,1,Theft from Vehicle,AM,Spring,Fairview,15
4590,2021,8,1,Theft of Vehicle,PM,Summer,Riley Park,4
4591,2021,8,1,Mischief,PM,Summer,Arbutus Ridge,2
4592,2022,8,1,Theft from Vehicle,PM,Summer,Kitsilano,22
4593,2013,1,1,Theft from Vehicle,PM,Winter,South Cambie,6
4594,2016,9,1,Theft from Vehicle,PM,Autumn,Grandview-Woodland,9
4595,2012,12,1,Break and Enter Commercial,PM,Autumn,Hastings-Sunrise,5
4596,2012,7,1,Theft of Bicycle,AM,Summer,Mount Pleasant,7
4597,2017,6,1,Other Theft,AM,Summer,West End,9
4598,2022,8,1,Other Theft,PM,Summer,Riley Park,21
4599,2021,8,1,Break and Enter Residential/Other,AM,Summer,Strathcona,5
4600,2015,7,1,Break and Enter Commercial,AM,Summer,Kerrisdale,1
4601,2020,3,1,Theft of Bicycle,PM,Winter,Strathcona,3
4602,2022,5,1,Break and Enter Residential/Other,PM,Spring,Dunbar-Southlands,3
4603,2019,9,1,Break and Enter Residential/Other,AM,Autumn,Mount Pleasant,1
4604,2013,9,1,Theft from Vehicle,AM,Autumn,Strathcona,2
4605,2019,4,1,Theft from Vehicle,AM,Spring,Fairview,29
4606,2017,10,1,Theft of Vehicle,PM,Autumn,Hastings-Sunrise,9
